<ls>H. 616. 1212</ls>	<ls>H. 616.</ls> <ls n="H.">1212</ls>
<ls>H. 1. 18.</ls>	<ls>H. 1.</ls> <ls n="H.">18.</ls>
<ls>H. 1395. 49.</ls>	<ls>H. 1395.</ls> <ls n="H.">49.</ls>
<ls>H. 142. 144.</ls>	<ls>H. 142.</ls> <ls n="H.">144.</ls>
<ls>H. 272. 536.</ls>	<ls>H. 272.</ls> <ls n="H.">536.</ls>
<ls>H. 72. 295.</ls>	<ls>H. 72.</ls> <ls n="H.">295.</ls>
<ls>H. 583. 296.</ls>	<ls>H. 583.</ls> <ls n="H.">296.</ls>
<ls>H. 517. 8.</ls>	<ls>H. 517.</ls> <ls n="H.">8.</ls>
<ls>H. 295. 304. 327.</ls>	<ls>H. 295.</ls> <ls n="H.">304.</ls> <ls n="H.">327.</ls>
<ls>H. 1363. 1525.</ls>	<ls>H. 1363.</ls> <ls n="H.">1525.</ls>
<ls>H. 2. 1120.</ls>	<ls>H. 2.</ls> <ls n="H.">1120.</ls>
<ls>H. 121. 220.</ls>	<ls>H. 121.</ls> <ls n="H.">220.</ls>
<ls>H. 462. 60.</ls>	<ls>H. 462.</ls> <ls n="H.">60.</ls>
<ls>H. 191. 1043.</ls>	<ls>H. 191.</ls> <ls n="H.">1043.</ls>
<ls>H. 939. 1526.</ls>	<ls>H. 939.</ls> <ls n="H.">1526.</ls>
<ls>H. 619. 630.</ls>	<ls>H. 619.</ls> <ls n="H.">630.</ls>
<ls>H. 699. 706.</ls>	<ls>H. 699.</ls> <ls n="H.">706.</ls>
<ls>H. 292. 1410.</ls>	<ls>H. 292.</ls> <ls n="H.">1410.</ls>
<ls>H. 21. 1210.</ls>	<ls>H. 21.</ls> <ls n="H.">1210.</ls>
<ls>H. 186. 483.</ls>	<ls>H. 186.</ls> <ls n="H.">483.</ls>
<ls>H. 8. 503. 513.</ls>	<ls>H. 8.</ls> <ls n="H.">503.</ls> <ls n="H.">513.</ls>
<ls>H. 10. 221.</ls>	<ls>H. 10.</ls> <ls n="H.">221.</ls>
<ls>H. 8. 516.</ls>	<ls>H. 8.</ls> <ls n="H.">516.</ls>
<ls>H. 915. 1232.</ls>	<ls>H. 915.</ls> <ls n="H.">1232.</ls>
<ls>H. 409. 854.</ls>	<ls>H. 409.</ls> <ls n="H.">854.</ls>
<ls>H. 1245. 1247.</ls>	<ls>H. 1245.</ls> <ls n="H.">1247.</ls>
<ls>H. 71. 242.</ls>	<ls>H. 71.</ls> <ls n="H.">242.</ls>
<ls>H. 15. 568.</ls>	<ls>H. 15.</ls> <ls n="H.">568.</ls>
<ls>H. 106. 183. 222. 250. 972. 1194. 1214.</ls>	<ls>H. 106.</ls> <ls n="H.">183.</ls> <ls n="H.">222.</ls> <ls n="H.">250.</ls> <ls n="H.">972.</ls> <ls n="H.">1194.</ls> <ls n="H.">1214.</ls>
<ls>H. 864. 867.</ls>	<ls>H. 864.</ls> <ls n="H.">867.</ls>
<ls>H. 454. 1429.</ls>	<ls>H. 454.</ls> <ls n="H.">1429.</ls>
<ls>H. 21. 1106.</ls>	<ls>H. 21.</ls> <ls n="H.">1106.</ls>
<ls>H. 1239. 1244.</ls>	<ls>H. 1239.</ls> <ls n="H.">1244.</ls>
<ls>H. 221. 759.</ls>	<ls>H. 221.</ls> <ls n="H.">759.</ls>
<ls>H. 9. 759.</ls>	<ls>H. 9.</ls> <ls n="H.">759.</ls>
<ls>H. 403. 405.</ls>	<ls>H. 403.</ls> <ls n="H.">405.</ls>
<ls>H. 735. 796.</ls>	<ls>H. 735.</ls> <ls n="H.">796.</ls>
<ls>H. 251. 1373.</ls>	<ls>H. 251.</ls> <ls n="H.">1373.</ls>
<ls>H. 948. 1029.</ls>	<ls>H. 948.</ls> <ls n="H.">1029.</ls>
<ls>H. 89. 190.</ls>	<ls>H. 89.</ls> <ls n="H.">190.</ls>
<ls>H. 16. 196</ls>	<ls>H. 16.</ls> <ls n="H.">196</ls>
<ls>H. 28. 30.</ls>	<ls>H. 28.</ls> <ls n="H.">30.</ls>
<ls>H. 838. 844.</ls>	<ls>H. 838.</ls> <ls n="H.">844.</ls>
<ls>H. 1076. 1087.</ls>	<ls>H. 1076.</ls> <ls n="H.">1087.</ls>
<ls>H. 1256. 47.</ls>	<ls>H. 1256.</ls> <ls n="H.">47.</ls>
<ls>H. 13. 195</ls>	<ls>H. 13.</ls> <ls n="H.">195</ls>
<ls>H. 623. 827.</ls>	<ls>H. 623.</ls> <ls n="H.">827.</ls>
<ls>H. 221. 231.</ls>	<ls>H. 221.</ls> <ls n="H.">231.</ls>
<ls>H. 1515. 14.</ls>	<ls>H. 1515.</ls> <ls n="H.">14.</ls>
<ls>H. 312. 462.</ls>	<ls>H. 312.</ls> <ls n="H.">462.</ls>
<ls>H. 491. 1263.</ls>	<ls>H. 491.</ls> <ls n="H.">1263.</ls>
<ls>H. 774. 787.</ls>	<ls>H. 774.</ls> <ls n="H.">787.</ls>
<ls>H. 48. 222. 1205.</ls>	<ls>H. 48.</ls> <ls n="H.">222.</ls> <ls n="H.">1205.</ls>
<ls>H. 728. 732.</ls>	<ls>H. 728.</ls> <ls n="H.">732.</ls>
<ls>H. 1152. 1200.</ls>	<ls>H. 1152.</ls> <ls n="H.">1200.</ls>
<ls>H. 28. 693.</ls>	<ls>H. 28.</ls> <ls n="H.">693.</ls>
<ls>H. 1169. 1201.</ls>	<ls>H. 1169.</ls> <ls n="H.">1201.</ls>
<ls>H. 14. 1319.</ls>	<ls>H. 14.</ls> <ls n="H.">1319.</ls>
<ls>H. 156. 158.</ls>	<ls>H. 156.</ls> <ls n="H.">158.</ls>
<ls>H. 844. 1377.</ls>	<ls>H. 844.</ls> <ls n="H.">1377.</ls>
<ls>H. 619. 629.</ls>	<ls>H. 619.</ls> <ls n="H.">629.</ls>
<ls>H. 229. 294.</ls>	<ls>H. 229.</ls> <ls n="H.">294.</ls>
<ls>H. 654. 7</ls>	<ls>H. 654.</ls> <ls n="H.">7</ls>
<ls>H. 72. 299.</ls>	<ls>H. 72.</ls> <ls n="H.">299.</ls>
<ls>H. 739. 796.</ls>	<ls>H. 739.</ls> <ls n="H.">796.</ls>
<ls>H. 562. 728.</ls>	<ls>H. 562.</ls> <ls n="H.">728.</ls>
<ls>H. 529. 334.</ls>	<ls>H. 529.</ls> <ls n="H.">334.</ls>
<ls>H. 10. 87.</ls>	<ls>H. 10.</ls> <ls n="H.">87.</ls>
<ls>H. 588. 613.</ls>	<ls>H. 588.</ls> <ls n="H.">613.</ls>
<ls>H. 3. 19.</ls>	<ls>H. 3.</ls> <ls n="H.">19.</ls>
<ls>H. 481. 990.</ls>	<ls>H. 481.</ls> <ls n="H.">990.</ls>
<ls>H. 90. 193.</ls>	<ls>H. 90.</ls> <ls n="H.">193.</ls>
<ls>H. 481. 1414.</ls>	<ls>H. 481.</ls> <ls n="H.">1414.</ls>
<ls>H. 80. 1537.</ls>	<ls>H. 80.</ls> <ls n="H.">1537.</ls>
<ls>H. 3. 2.</ls>	<ls>H. 3.</ls> <ls n="H.">2.</ls>
<ls>H. 261. 1537.</ls>	<ls>H. 261.</ls> <ls n="H.">1537.</ls>
<ls>H. 2. 320.</ls>	<ls>H. 2.</ls> <ls n="H.">320.</ls>
<ls>H. 316. 1528.</ls>	<ls>H. 316.</ls> <ls n="H.">1528.</ls>
<ls>H. 1130. 1168.</ls>	<ls>H. 1130.</ls> <ls n="H.">1168.</ls>
<ls>H. 496. 730</ls>	<ls>H. 496.</ls> <ls n="H.">730</ls>
<ls>H. 283. 295. 307.</ls>	<ls>H. 283.</ls> <ls n="H.">295.</ls> <ls n="H.">307.</ls>
<ls>H. 481. 284</ls>	<ls>H. 481.</ls> <ls n="H.">284</ls>
<ls>H. 27. 29.</ls>	<ls>H. 27.</ls> <ls n="H.">29.</ls>
<ls>H. 129. 131.</ls>	<ls>H. 129.</ls> <ls n="H.">131.</ls>
<ls>H. 714. 730.</ls>	<ls>H. 714.</ls> <ls n="H.">730.</ls>
<ls>H. 1281. 1287.</ls>	<ls>H. 1281.</ls> <ls n="H.">1287.</ls>
<ls>H. 760. 794. 898</ls>	<ls>H. 760.</ls> <ls n="H.">794.</ls> <ls n="H.">898</ls>
<ls>H. 335. 861.</ls>	<ls>H. 335.</ls> <ls n="H.">861.</ls>
<ls>H. 588. 1224.</ls>	<ls>H. 588.</ls> <ls n="H.">1224.</ls>
<ls>H. 746. 973.</ls>	<ls>H. 746.</ls> <ls n="H.">973.</ls>
<ls>H. 1120. 1182.</ls>	<ls>H. 1120.</ls> <ls n="H.">1182.</ls>
<ls>H. 810. 824.</ls>	<ls>H. 810.</ls> <ls n="H.">824.</ls>
<ls>H. 295. 304. 327.</ls>	<ls>H. 295.</ls> <ls n="H.">304.</ls> <ls n="H.">327.</ls>
<ls>H. 619. 631.</ls>	<ls>H. 619.</ls> <ls n="H.">631.</ls>
<ls>H. 478. 730.</ls>	<ls>H. 478.</ls> <ls n="H.">730.</ls>
<ls>H. 266. 349.</ls>	<ls>H. 266.</ls> <ls n="H.">349.</ls>
<ls>H. 333. 552.</ls>	<ls>H. 333.</ls> <ls n="H.">552.</ls>
<ls>H. 3. 213.</ls>	<ls>H. 3.</ls> <ls n="H.">213.</ls>
<ls>H. 1080. 1086.</ls>	<ls>H. 1080.</ls> <ls n="H.">1086.</ls>
<ls>H. 3. 76. 157.</ls>	<ls>H. 3.</ls> <ls n="H.">76.</ls> <ls n="H.">157.</ls>
<ls>H. 355. 521.</ls>	<ls>H. 355.</ls> <ls n="H.">521.</ls>
<ls>H. 306. 1399.</ls>	<ls>H. 306.</ls> <ls n="H.">1399.</ls>
<ls>H. 553. 9.</ls>	<ls>H. 553.</ls> <ls n="H.">9.</ls>
<ls>H. 47. 1309.</ls>	<ls>H. 47.</ls> <ls n="H.">1309.</ls>
<ls>H. 308. 474.</ls>	<ls>H. 308.</ls> <ls n="H.">474.</ls>
<ls>H. 804. 1539.</ls>	<ls>H. 804.</ls> <ls n="H.">1539.</ls>
<ls>H. 225. 891.</ls>	<ls>H. 225.</ls> <ls n="H.">891.</ls>
<ls>H. 407. 831.</ls>	<ls>H. 407.</ls> <ls n="H.">831.</ls>
<ls>H. 599. 887.</ls>	<ls>H. 599.</ls> <ls n="H.">887.</ls>
<ls>H. 658. 661.</ls>	<ls>H. 658.</ls> <ls n="H.">661.</ls>
<ls>H. 72. 296.</ls>	<ls>H. 72.</ls> <ls n="H.">296.</ls>
<ls>H. 371. 830.</ls>	<ls>H. 371.</ls> <ls n="H.">830.</ls>
<ls>H. 951. 1027. 947</ls>	<ls>H. 951.</ls> <ls n="H.">1027.</ls> <ls n="H.">947</ls>
<ls>H. 192. 1043. 1045.</ls>	<ls>H. 192.</ls> <ls n="H.">1043.</ls> <ls n="H.">1045.</ls>
<ls>H. 1527. 1534.</ls>	<ls>H. 1527.</ls> <ls n="H.">1534.</ls>
<ls>H. 150. 535.</ls>	<ls>H. 150.</ls> <ls n="H.">535.</ls>
<ls>H. 261. 334.</ls>	<ls>H. 261.</ls> <ls n="H.">334.</ls>
<ls>H. 603. 623. 1369.</ls>	<ls>H. 603.</ls> <ls n="H.">623.</ls> <ls n="H.">1369.</ls>
<ls>H. 603. 623. 1369.</ls>	<ls>H. 603.</ls> <ls n="H.">623.</ls> <ls n="H.">1369.</ls>
<ls>H. 1427. 1429.</ls>	<ls>H. 1427.</ls> <ls n="H.">1429.</ls>
<ls>H. 387. an. 3,243.</ls>	<ls>H. 387.</ls> <ls n="H. ">an. 3,243.</ls>
<ls>H. 486. an. 2,556.</ls>	<ls>H. 486.</ls> <ls n="H. ">an. 2,556.</ls>
<ls>H. 1529. 608. an. 7,58.</ls>	<ls>H. 1529.</ls> <ls n="H.">608.</ls> <ls n="H. ">an. 7,58.</ls>
<ls>H. 1275. an. 2,65.</ls>	<ls>H. 1275.</ls> <ls n="H. ">an. 2,65.</ls>
<ls>H. 1004. an. 3,518.</ls>	<ls>H. 1004.</ls> <ls n="H. ">an. 3,518.</ls>
<ls>H. 1013. an. 2,132.</ls>	<ls>H. 1013.</ls> <ls n="H. ">an. 2,132.</ls>
<ls>H. 797. an. 3,2.</ls>	<ls>H. 797.</ls> <ls n="H. ">an. 3,2.</ls>
<ls>H. 1438. an. 4,234.</ls>	<ls>H. 1438.</ls> <ls n="H. ">an. 4,234.</ls>
<ls>H. 150. an. 4,98.</ls>	<ls>H. 150.</ls> <ls n="H. ">an. 4,98.</ls>
<ls>H. 933. an. 5,24.</ls>	<ls>H. 933.</ls> <ls n="H. ">an. 5,24.</ls>
<ls>H. 500. an. 2,345.</ls>	<ls>H. 500.</ls> <ls n="H. ">an. 2,345.</ls>
<ls>H. 359. an. 2,343.</ls>	<ls>H. 359.</ls> <ls n="H. ">an. 2,343.</ls>
<ls>H. 238. an. 3,519.</ls>	<ls>H. 238.</ls> <ls n="H. ">an. 3,519.</ls>
<ls>H. 886. an. 3,9.</ls>	<ls>H. 886.</ls> <ls n="H. ">an. 3,9.</ls>
<ls>H. 756. an. 2,132</ls>	<ls>H. 756.</ls> <ls n="H. ">an. 2,132</ls>
<ls>H. 915. an. 2,395.</ls>	<ls>H. 915.</ls> <ls n="H. ">an. 2,395.</ls>
<ls>H. 166. an. 2,543.</ls>	<ls>H. 166.</ls> <ls n="H. ">an. 2,543.</ls>
<ls>H. 423. an. 3,250.</ls>	<ls>H. 423.</ls> <ls n="H. ">an. 3,250.</ls>
<ls>H. 1468. an. 3,522.</ls>	<ls>H. 1468.</ls> <ls n="H. ">an. 3,522.</ls>
<ls>H. 204. ś. 55. an. 3,523.</ls>	<ls>H. 204.</ls> <ls n="H. ">ś. 55.</ls> <ls n="H. ">an. 3,523.</ls>
<ls>H. 879. an. 3,440.</ls>	<ls>H. 879.</ls> <ls n="H. ">an. 3,440.</ls>
<ls>H. 1536. an. 7,22. 23. 54. 55.</ls>	<ls>H. 1536.</ls> <ls n="H. ">an. 7,22. 23. 54. 55.</ls>
<ls>H. 1398. an. 2,160.</ls>	<ls>H. 1398.</ls> <ls n="H. ">an. 2,160.</ls>
<ls>H. 1232. an. 2,349.</ls>	<ls>H. 1232.</ls> <ls n="H. ">an. 2,349.</ls>
<ls>H. 953. 1077. an. 2,62.</ls>	<ls>H. 953.</ls> <ls n="H.">1077.</ls> <ls n="H. ">an. 2,62.</ls>
<ls>H. 1007. an. 3,164.</ls>	<ls>H. 1007.</ls> <ls n="H. ">an. 3,164.</ls>
<ls>H. 1070. an. 3,344.</ls>	<ls>H. 1070.</ls> <ls n="H. ">an. 3,344.</ls>
<ls>H. 816. an. 4,287.</ls>	<ls>H. 816.</ls> <ls n="H. ">an. 4,287.</ls>
<ls>H. 1062. an. 2,56.</ls>	<ls>H. 1062.</ls> <ls n="H. ">an. 2,56.</ls>
<ls>H. 166. an. 2,104.</ls>	<ls>H. 166.</ls> <ls n="H. ">an. 2,104.</ls>
<ls>H. 1181. an. 3,538.</ls>	<ls>H. 1181.</ls> <ls n="H. ">an. 3,538.</ls>
<ls>H. 916. an. 4,249.</ls>	<ls>H. 916.</ls> <ls n="H. ">an. 4,249.</ls>
<ls>H. 946. an. 2,405.</ls>	<ls>H. 946.</ls> <ls n="H. ">an. 2,405.</ls>
<ls>H. 965. an. 2,406.</ls>	<ls>H. 965.</ls> <ls n="H. ">an. 2,406.</ls>
<ls>H. 466. an. 2,115.</ls>	<ls>H. 466.</ls> <ls n="H. ">an. 2,115.</ls>
<ls>H. 100. an. 3,260.</ls>	<ls>H. 100.</ls> <ls n="H. ">an. 3,260.</ls>
<ls>H. 1142. an. 4,286.</ls>	<ls>H. 1142.</ls> <ls n="H. ">an. 4,286.</ls>
<ls>H. 989. an. 2,599.</ls>	<ls>H. 989.</ls> <ls n="H. ">an. 2,599.</ls>
<ls>H. 1257. 1265. an. 1,6.</ls>	<ls>H. 1257.</ls> <ls n="H.">1265.</ls> <ls n="H. ">an. 1,6.</ls>
<ls>H. 1293. an. 3,203.</ls>	<ls>H. 1293.</ls> <ls n="H. ">an. 3,203.</ls>
<ls>H. 755. an. 2,415. fg.</ls>	<ls>H. 755.</ls> <ls n="H. ">an. 2,415.</ls> fg.
<ls>H. 264. an. 2,89.</ls>	<ls>H. 264.</ls> <ls n="H. ">an. 2,89.</ls>
<ls>H. 1454. an. 4,252.</ls>	<ls>H. 1454.</ls> <ls n="H. ">an. 4,252.</ls>
<ls>H. 666. an. 2,486.</ls>	<ls>H. 666.</ls> <ls n="H. ">an. 2,486.</ls>
<ls n="H.">1476. an. 2,265.</ls>	<ls n="H.">1476.</ls> <ls n="H. ">an. 2,265.</ls>
<ls>H. 585. an. 2,521.</ls>	<ls>H. 585.</ls> <ls n="H. ">an. 2,521.</ls>
<ls>H. 479. an. 4,14.</ls>	<ls>H. 479.</ls> <ls n="H. ">an. 4,14.</ls>
<ls>H. 153. an. 3,489.</ls>	<ls>H. 153.</ls> <ls n="H. ">an. 3,489.</ls>
<ls>H. 1161. an. 4,327.</ls>	<ls>H. 1161.</ls> <ls n="H. ">an. 4,327.</ls>
<ls>H. 1402. 1409. an. 2,426. fg.</ls>	<ls>H. 1402.</ls> <ls n="H.">1409.</ls> <ls n="H. ">an. 2,426. fg.</ls>
<ls>H. 619. 630. an. 1,17.</ls>	<ls>H. 619.</ls> <ls n="H.">630.</ls> <ls n="H. ">an. 1,17.</ls>
<ls>H. 785. an. 2,121.</ls>	<ls>H. 785.</ls> <ls n="H. ">an. 2,121.</ls>
<ls>H. 667. an. 2,549.</ls>	<ls>H. 667.</ls> <ls n="H. ">an. 2,549.</ls>
<ls>H. 638. an. 2,523.</ls>	<ls>H. 638.</ls> <ls n="H. ">an. 2,523.</ls>
<ls>H. 1004. an. 2,430.</ls>	<ls>H. 1004.</ls> <ls n="H. ">an. 2,430.</ls>
<ls>H. 1097. an. 4,223. fg.</ls>	<ls>H. 1097.</ls> <ls n="H. ">an. 4,223.</ls> fg.
<ls>H. 775. an. 2,583.</ls>	<ls>H. 775.</ls> <ls n="H. ">an. 2,583.</ls>
<ls>H. 1349. an. 2,434.</ls>	<ls>H. 1349.</ls> <ls n="H. ">an. 2,434.</ls>
<ls>H. 337. an. 2,433.</ls>	<ls>H. 337.</ls> <ls n="H. ">an. 2,433.</ls>
<ls>H. 580. an. 2,584.</ls>	<ls>H. 580.</ls> <ls n="H. ">an. 2,584.</ls>
<ls>H. 1540. an. 7,40.</ls>	<ls>H. 1540.</ls> <ls n="H. ">an. 7,40.</ls>
<ls>H. 1316. an. 3,126.</ls>	<ls>H. 1316.</ls> <ls n="H. ">an. 3,126.</ls>
<ls>H. 1160. an. 2,328.</ls>	<ls>H. 1160.</ls> <ls n="H. ">an. 2,328.</ls>
<ls>H. 1473. an. 2,149.</ls>	<ls>H. 1473.</ls> <ls n="H. ">an. 2,149.</ls>
<ls>H. 1391. an. 4,291</ls>	<ls>H. 1391.</ls> <ls n="H. ">an. 4,291</ls>
<ls>H. 161. an. 4,119.</ls>	<ls>H. 161.</ls> <ls n="H. ">an. 4,119.</ls>
<ls>H. 199. an. 4,120.</ls>	<ls>H. 199.</ls> <ls n="H. ">an. 4,120.</ls>
<ls>H. 338. an. 2,12.</ls>	<ls>H. 338.</ls> <ls n="H. ">an. 2,12.</ls>
<ls>H. 1142. an. 2,497.</ls>	<ls>H. 1142.</ls> <ls n="H. ">an. 2,497.</ls>
<ls>H. 1529. an. 7,51.</ls>	<ls>H. 1529.</ls> <ls n="H. ">an. 7,51.</ls>
<ls>H. 1529. an. 7,55.</ls>	<ls>H. 1529.</ls> <ls n="H. ">an. 7,55.</ls>
<ls>H. 336. an. 2,372.</ls>	<ls>H. 336.</ls> <ls n="H. ">an. 2,372.</ls>
<ls>H. 745. an. 3,394.</ls>	<ls>H. 745.</ls> <ls n="H. ">an. 3,394.</ls>
<ls>H. 1294. an. 2,180.</ls>	<ls>H. 1294.</ls> <ls n="H. ">an. 2,180.</ls>
<ls>H. 1010. an. 3,213.</ls>	<ls>H. 1010.</ls> <ls n="H. ">an. 3,213.</ls>
<ls>H. 1397. an. 2,441.</ls>	<ls>H. 1397.</ls> <ls n="H. ">an. 2,441.</ls>
<ls>H. 796. an. 2,500.</ls>	<ls>H. 796.</ls> <ls n="H. ">an. 2,500.</ls>
<ls>H. 1505. an. 2,130.</ls>	<ls>H. 1505.</ls> <ls n="H. ">an. 2,130.</ls>
<ls>H. 295. an. 3,752.</ls>	<ls>H. 295.</ls> <ls n="H. ">an. 3,752.</ls>
<ls>H. 201. an. 2,329. fg.</ls>	<ls>H. 201.</ls> <ls n="H. ">an. 2,329.</ls> fg.
<ls>H. 95. an. 2,37.</ls>	<ls>H. 95.</ls> <ls n="H. ">an. 2,37.</ls>
<ls>H. 86. an. 3,676.</ls>	<ls>H. 86.</ls> <ls n="H. ">an. 3,676.</ls>
<ls>H. 107. an. 3,674.</ls>	<ls>H. 107.</ls> <ls n="H. ">an. 3,674.</ls>
<ls>H. 978. an. 3,588.</ls>	<ls>H. 978.</ls> <ls n="H. ">an. 3,588.</ls>
<ls>H. 299. an. 2,376.</ls>	<ls>H. 299.</ls> <ls n="H. ">an. 2,376.</ls>
<ls>H. 1319. an. 3,593.</ls>	<ls>H. 1319.</ls> <ls n="H. ">an. 3,593.</ls>
<ls>H. 1148. an. 3,81.</ls>	<ls>H. 1148.</ls> <ls n="H. ">an. 3,81.</ls>
<ls>H. 1430. an. 2,185.</ls>	<ls>H. 1430.</ls> <ls n="H. ">an. 2,185.</ls>
<ls>H. 193. an. 4,217.</ls>	<ls>H. 193.</ls> <ls n="H. ">an. 4,217.</ls>
<ls>H. 552. an. 3,677.</ls>	<ls>H. 552.</ls> <ls n="H. ">an. 3,677.</ls>
<ls>H. 538. an. 3,400.</ls>	<ls>H. 538.</ls> <ls n="H. ">an. 3,400.</ls>
<ls>H. 97. an. 3,595.</ls>	<ls>H. 97.</ls> <ls n="H. ">an. 3,595.</ls>
<ls>H. 1387. an. 2,233.</ls>	<ls>H. 1387.</ls> <ls n="H. ">an. 2,233.</ls>
<ls>H. 401. 1170. 1181. an. 2,534.</ls>	<ls>H. 401.</ls> <ls n="H.">1170.</ls> <ls n="H.">1181.</ls> <ls n="H. ">an. 2,534.</ls>
<ls>H. 686. an. 2,535.</ls>	<ls>H. 686.</ls> <ls n="H. ">an. 2,535.</ls>
<ls>H. 756. an. 2,43.</ls>	<ls>H. 756.</ls> <ls n="H. ">an. 2,43.</ls>
<ls>H. 888. an. 3,402.</ls>	<ls>H. 888.</ls> <ls n="H. ">an. 3,402.</ls>
<ls>H. 914. an. 3,86.</ls>	<ls>H. 914.</ls> <ls n="H. ">an. 3,86.</ls>
<ls>H. 115. an. 3,288.</ls>	<ls>H. 115.</ls> <ls n="H. ">an. 3,288.</ls>
<ls>H. 1265. an. 3,221.</ls>	<ls>H. 1265.</ls> <ls n="H. ">an. 3,221.</ls>
<ls>H. 357. an. 3,223.</ls>	<ls>H. 357.</ls> <ls n="H. ">an. 3,223.</ls>
<ls>H. 505. an. 3,407.</ls>	<ls>H. 505.</ls> <ls n="H. ">an. 3,407.</ls>
<ls>H. 1037. 1039. an. 2,601.</ls>	<ls>H. 1037.</ls> <ls n="H.">1039.</ls> <ls n="H. ">an. 2,601.</ls>
<ls>H. 1153. an. 2,554.</ls>	<ls>H. 1153.</ls> <ls n="H. ">an. 2,554.</ls>
<ls>H. 180. an. 2,453.</ls>	<ls>H. 180.</ls> <ls n="H. ">an. 2,453.</ls>
<ls>H. 1110. an. 2,283.</ls>	<ls>H. 1110.</ls> <ls n="H. ">an. 2,283.</ls>
<ls>H. 565. an. 2,590.</ls>	<ls>H. 565.</ls> <ls n="H. ">an. 2,590.</ls>
<ls>H. 624. an. 3,598. fg.</ls>	<ls>H. 624.</ls> <ls n="H. ">an. 3,598.</ls> fg.
<ls>H. 1264. an. 2,602.</ls>	<ls>H. 1264.</ls> <ls n="H. ">an. 2,602.</ls>
<ls>H. 807. 809. an. 4,134.</ls>	<ls>H. 807.</ls> <ls n="H.">809.</ls> <ls n="H. ">an. 4,134.</ls>
<ls>H. 1466. an. 2,336.</ls>	<ls>H. 1466.</ls> <ls n="H. ">an. 2,336.</ls>
<ls>H. 989. an. 2,195</ls>	<ls>H. 989.</ls> <ls n="H. ">an. 2,195</ls>
<ls>H. 1475. an. 2,195.</ls>	<ls>H. 1475.</ls> <ls n="H. ">an. 2,195.</ls>
<ls>H. 1430. an. 3,683.</ls>	<ls>H. 1430.</ls> <ls n="H. ">an. 3,683.</ls>
<ls>H. 1378. an. 5,43.</ls>	<ls>H. 1378.</ls> <ls n="H. ">an. 5,43.</ls>
<ls>H. 96. an. 3,296.</ls>	<ls>H. 96.</ls> <ls n="H. ">an. 3,296.</ls>
<ls>H. 1392. 1436. an. 3,339.</ls>	<ls>H. 1392.</ls> <ls n="H.">1436.</ls> <ls n="H. ">an. 3,339.</ls>
<ls n="H.">183. an. 4,332. fg.</ls>	<ls n="H.">183.</ls> <ls n="H. ">an. 4,332.</ls> fg.
<ls>H. 214. an. 4,190.</ls>	<ls>H. 214.</ls> <ls n="H. ">an. 4,190.</ls>
<ls>H. 163. an. 3,756.</ls>	<ls>H. 163.</ls> <ls n="H. ">an. 3,756.</ls>
<ls>H. 1256. an. 3,459.</ls>	<ls>H. 1256.</ls> <ls n="H. ">an. 3,459.</ls>
<ls>H. 894. an. 3,684.</ls>	<ls>H. 894.</ls> <ls n="H. ">an. 3,684.</ls>
<ls>H. 794. an. 4,35.</ls>	<ls>H. 794.</ls> <ls n="H. ">an. 4,35.</ls>
<ls>H. 153. an. 3,115.</ls>	<ls>H. 153.</ls> <ls n="H. ">an. 3,115.</ls>
<ls>H. 1482. an. 3,342.</ls>	<ls>H. 1482.</ls> <ls n="H. ">an. 3,342.</ls>
<ls>H. 927. an. 2,248.</ls>	<ls>H. 927.</ls> <ls n="H. ">an. 2,248.</ls>
<ls>H. 1535. an. 7,15.</ls>	<ls>H. 1535.</ls> <ls n="H. ">an. 7,15.</ls>
<ls>H. 304. an. 3,322.</ls>	<ls>H. 304.</ls> <ls n="H. ">an. 3,322.</ls>
<ls>H. 180. an. 2,306.</ls>	<ls>H. 180.</ls> <ls n="H. ">an. 2,306.</ls>
<ls>H. 493. an. 3,685.</ls>	<ls>H. 493.</ls> <ls n="H. ">an. 3,685.</ls>
<ls>H. 1531. an. 7,25</ls>	<ls>H. 1531.</ls> <ls n="H. ">an. 7,25</ls>
<ls>H. 86. an. 2,199.</ls>	<ls>H. 86.</ls> <ls n="H. ">an. 2,199.</ls>
<ls>H. 1114. an. 2,287.</ls>	<ls>H. 1114.</ls> <ls n="H. ">an. 2,287.</ls>
<ls>H. 728. an. 3,713. fg.</ls>	<ls>H. 728.</ls> <ls n="H. ">an. 3,713.</ls> fg.
<ls>H. 1285. an. 3,686.</ls>	<ls>H. 1285.</ls> <ls n="H. ">an. 3,686.</ls>
<ls>H. 1138. an. 2,515.</ls>	<ls>H. 1138.</ls> <ls n="H. ">an. 2,515.</ls>
<ls>H. 570. an. 3,509. fg.</ls>	<ls>H. 570.</ls> <ls n="H. ">an. 3,509. fg.</ls>
<ls>H. 1392. an. 2,60.</ls>	<ls>H. 1392.</ls> <ls n="H. ">an. 2,60.</ls>
<ls>H. 1415. an. 2,21.</ls>	<ls>H. 1415.</ls> <ls n="H. ">an. 2,21.</ls>
<ls>H. 1397. an. 2,338.</ls>	<ls>H. 1397.</ls> <ls n="H. ">an. 2,338.</ls>
<ls>H. 822. an. 2,252.</ls>	<ls>H. 822.</ls> <ls n="H. ">an. 2,252.</ls>
<ls>H. 195. an. 3,178.</ls>	<ls>H. 195.</ls> <ls n="H. ">an. 3,178.</ls>
