abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
Uebertr.	8		58	0	0	58	      —         Das Feuer als Gottesurtheil   —   Uebertr.:                                         <div n="	                                     Auch m.:     Uebertr.:        :     (vgl.  ). Häufig steht   scheinbar 	    ..                    ( )      :        :     Uebertr.   (=         <div n="2">— b)             <div n="
dgl.	4		74	0	16	58	faden in den Lüften     vom Gespann der Götter u. dgl.:             von den     von denselben oder ander	n 1.  )       superl.     :   (vgl. 1.   mit   u. dgl.). <LEND>     ¦   Nach   bezeichnet     eine Krank	  nach Andern ein davon verschiedenes Wesen  , Randgl.       ein Volk   in   <div n="v">— Vgl.   . <LEND
gramm.	6		59	0	1	58	"1"> 1)  :     in der Einl. zu   <div n="1">— 2) (gramm.)  ; so heisst z. B. die Auflösung des comp.   in 	:                               inf.     pass.   (gramm.):    ,      ,   1.    ,  . 19,  )                	19,  )                                           (gramm.)  ,  . 3. <div n="1">— 2)  :     <div n="p">—    
Beiww.	6		53	0	0	53	  (vgl.    ).                           und   als Beiww.       von     <div n="1">— 2)   (vgl.  )   <div n	    in                       in         unter den Beiww. von               dass.                 dass.    	chliesst,         im       zu                     Beiww.     Am Ende eines   comp.                        
adjj.	5		53	0	0	53	ach     zu   ) patron. von   . <LEND>     ¦ und   adjj. von       zu     <LEND>     ¦ patron. von   . So 	end; davon      ,   <LEND>     ¦,     und  ,    , adjj.                   <LEND>     ¦ s.   . <LEND>     	v.     zu   <LEND>     ¦ und  , adv. von   und  ) adjj.           <LEND>     ¦ ( )   (  oder  , auch   ge
Beinn.	6		52	0	0	52	   ¦ ( )   von     <LEND>     ¦ und   (  und  )   Beinn. von       <LEND>     ¦ ( )   N. pr. eines     in 	  (vgl.   im Vorwort zur  )       (  ) und   (  ) Beinn. von  .         mit der   identif.   <LEND>     ¦ 	bruar 3102 v.   gesetzt, ebend.         unter den Beinn.     Vgl.   . <div n="2">— d)         (  und  ).  
Insbes.	7		52	0	0	52	 von diesen Beispielen auch als   gefasst werden. Insbes. heisst noch   <div n="2"> a)     (nach  ; vgl. 1.	 Pflanze    , von Gift              :   (von  )   Insbes. bezeichnet    , welche viel angebaut und gegessen	raphen:   ( )     (wie Handel u.s.w.)       ( )   Insbes.   ( )     ( )   Statt dessen hat      ,       Vgl
dopp.	5		52	0	0	52	gerufen werden   Anruf im Zorn   im   Wohl das verdopp.  , also eig.   zu schreiben. <LEND>     ¦ (3.  ) 	olkes   <LEND>     ¦,   ( ),   ( )          ; mit dopp. acc.:                                            	n="p">—    :                             in   Mit dopp. acc.:     —    ; hier ist wohl   (s. u.  ) zu les
Verb.	5		51	0	0	51	                    Vgl. 7. <div n="1">— 4)  , in Verb. mit einem relat.:           [Page1-0861]     Dies	   ¦ (von   mit  ) adv. <div n="1"> 1)     in der Verb.               <div n="1">— 2)  :     <div n="v">—	eines Sohnes von     in   <LEND>     ¦   von   in Verb. mit         <LEND>     ¦ <div n="1"> 1)         (
absolut.	8		52	1	0	51	<div n="2"> a) =  , <div n="2"> b) =     im   —   absolut. s. u.   mit   . <LEND>     ¦ (von   mit  )       	n Bilde wie wir sagen:   u. s. w. <LEND>    2.  ¦ absolut. von 1.   nach   in der Stelle     <LEND>     ¦ ( 	 n="v">— Vgl.   fgg. und   . <div n="p">—    :   (absolut.)     <div n="p">—   so v. a.   1:     <div n="p">
verb.	5		49	0	0	49	mit dem von ihm regierten Worte zu einem   oder adverb. comp.:    ,    ,       [Page1-0091]  ,    ,     (	et sich mit dem regierten Worte zu einem   oder adverb. comp., s.   . <div n="v">— Vgl.   und  ; vielleic	                                  Am Ende eines adverb. comp.      , auch anderer compp.   Vgl.   und   .
vorang.	7		50	0	1	49	r Gewalt eines bösen Geistes ( )  :     (vgl. die vorang. und folg. Verse).         [Page1-0114]       dass	  und im  ) eben so     erklärt es durch   (s. d. vorang. Wort). —   falsche Lesart statt     <div n="v">— 	n der Verbindung  ; s. u.   . <div n="2">— c) mit vorang. (selten mitfolg.) abl. <div n="3"> α)  , örtlich 
Gramm.	6		55	0	8	47	:     <div n="2">— h)     <div n="2">— i) (in der Gramm.)   oder  , ( )      ,    ,   — Die indischen Lexi	von   mit  )   <div n="1"> 1)  :           In der Gramm.    :    ,  ,   <div n="1">— 2)  :     <div n="1">	<div n="1">— 3)         <div n="1">— 4)   (in der Gramm.)         u. s. w. <div n="1">— 5)     <div n="1">
Th.	3	Y	72	0	26	46	 vgl. über solche Elisionen unsere Bemerkung zu   Th. I, S. 820.     Zweifelhaft ist die Bed. des Worte	  , =     im  ; eine Verwechselung mit   (welches Th. II, S. 247, Z. 2 v. u. fälschlich durch   wiederg	 und   loc. +   absol.) ved.     zu   ; vgl. oben Th. II,   in der Mitte. <LEND>     ¦ ( )       zu   <
conj.	5		45	0	0	45	rf.           aor.             ibid. aor. med.  ; conj. 3. sg.  ; fut.  ; prec.         ger.  ; partic. p	   (mit   und  ). Die Form     könnte für imperf. conj. gelten, ist aber eher missverständliche Variante,	 eine   vorauszusetzen, das sich nicht findet; 1. conj. aor.  . , auch med. (s. u.   .) Vgl.  . <div n="1
Suppl.	6		101	0	57	44	v">— Vgl.   . <LEND>     ¦ ( )       im   Nach   (Suppl.) auch =     Nach   :   ( ). <LEND>     ¦ ( )   Ti	                     Vgl.   . <div n="3">— γ)     Suppl. <div n="3">— δ) eine best.     <div n="3">— ε) be	enen Bedeutungen: <div n="2"> a)   (s.  )   im   (Suppl.). <div n="2">— b) N. verschiedener Pflanzen:     
astr.	5		60	0	16	44	--                                 (abl.)         astr.     <div n="1">— 2) so heisst: <div n="2"> a) als	="2">— k)  :             Vgl.     <div n="2">— l) astr.       im   <div n="2">— m)   N. pr. eines Barbier	. und   . <LEND>     ¦ ( )    :     <LEND>     ¦ (astr.)       <LEND>     ¦ (von 1.  ) adv.   <div n="1">
etym.	5		42	0	0	42	END>     ¦ (3.  )    :     <LEND>     ¦ =  , eine etym. Spielerei,   <LEND>     ¦ (von  )  ,  .   <div n=	g mit  ; über das tonlose   s.   <LEND>    2.  ¦ (etym.  , von 1.  )    , Bezeichnung von Dämonen:       	ichnung von Dämonen:             <LEND>    3.  ¦ (etym.  , von 1.  )    :     <LEND>    4.  ¦   ein zur E
gerund.	7		42	0	0	42	astisch:           ferner nach     und nach einem gerund.:                       Nicht selten reiht   nur e	    ; davon nom. abstr.       <LEND>     ¦ (3.   [gerund. von   mit  )           . <LEND>     ¦ (  [3.   ge	d. von   mit  )           . <LEND>     ¦ (  [3.   gerund. von   mit  ] +  ) =  ; so wird in   und bei   der
ablat.	6		41	0	0	41	 Form des fem. annehmen,  ,  . 10.   (oder  )     ablat.:   ( )     gen.:    ,   loc.:   (med. gegen  )   	 und potent. ( )               <div n="1">— 5)   (ablat.)     <div n="1">— 6)   (loc.)  :                 	ne Form. <LEND>     ¦ astr. =       <LEND>     ¦ (ablat. von 1.  ) adv.   (correl. mit   und  )           
an.	3	Y	11920	0	11879	41	 c) =       führt als 2te Bedeutung die Pflanze   an. <LEND>    2.  ¦ (wie eben)   =  .    von einer de	t und nimmt ausnahmsweise auch die Endung des pl. an. Das in Verbindung mit   erscheinende Verbum weist	n praepp. an eine grosse Anzahl von Verbalwurzeln an. Nicht selten entspricht   der deutschen Partikel 
n. pr.	6		41	0	1	40	n Göttern:           <LEND>     ¦ ( )    , nach   n. pr.   <LEND>     ¦ ( )       <LEND>     ¦   =   von  	  . <div n="1">— 2) =         <div n="1">— 3)     n. pr.   <LEND>     ¦ ( )     ( )   im   <LEND>     ¦ N.	 und   von 2.  ). Accent eines darauf ausgehenden n. pr.   <div n="1"> 1)   nom. act. von     (lies   st. 
Comp.	5		39	0	0	39	unveränderte Gestalt bei     (sonst am Ende eines Comp. —   (sonst —  ), ( ) (sonst —  )   Ausnahmen: ebe	 des  ,   <LEND>     ¦ (von 1.  ) am Ende eines   Comp.:     (bei der Erbtheilung)     <LEND>     ¦   <di	.               ; vgl. noch   . — Am Ende eines   Comp.         — Von     <LEND>     ¦ (    +    )       
Lexicogrr.	10		38	0	0	38	wei Bedeutungen des adv.   zerlegen die indischen Lexicogrr. in vier: <div n="3"> α)     ( )     <div n="3">— 	s Paarung und   als Kind der Hölzer.     Nach den Lexicogrr.            ; im Gebrauch ist das   mit der Nebenf	nd Gemahlin  , Mutter der Pflanzen,         — Die Lexicogrr. geben folg. Bedeutt.: <div n="2"> a)             
Scholl.	7		38	0	0	38	ch dem   mit   zusammenges.; vgl.   :  , wo beide Scholl. die praep. annehmen).         <div n="1">— 2)  : 	(  voc.)   (am Ende des  )       (v. l. und beide Scholl.:  ). <div n="1">— 2) N. eines Kriegerstammes     	3.  )           <LEND>     ¦ (von  )       In den Scholl. zu   wird   durch   erklärt. <div n="v">— Vgl.   
geschr.	7		36	0	0	36	eben)   N. pr. eines Mannes von grosser Stärke:   geschr.)   <LEND>     ¦ (von   mit  )     (?):     Das Wo	gl.   . <LEND>     ¦ interj.     zu               geschr.)       vor einem Vocal   (=     <LEND>     ¦ <div	END>     ¦   N. pr. eines Landes (Balkh)   zu     geschr.). <div n="v">— Vgl. das folgende Wort und   . <LE
plur.	5		36	0	0	36	eil des   bildet.   Einl. zu   :       —         (plur.)         <div n="1">— 2)            ,  ,  .      	önigs der Rosse                              , N. plur.   Die Lexicographen bezeichnen es als   Ross. <di	]       <div n="1">— 2)                           plur.               von                   namentlich vo
s. v.	5		37	0	1	36	  )   <div n="1"> 1)  :         <div n="1">— 2)   s. v. a.  :                             <div n="1">— 3)	wörtlichen Redensart:         =  ; dem Sinne nach s. v. a.   <LEND>     ¦ (von   mit  )    :     <LEND>  	gl.   und oben u. 1)                 (ebenso wohl s. v. a.  , vgl.   :  )               <div n="1">— 3)  
Etym.	5		38	0	3	35	="1">— 4) N. eines Meeres in   Welt:   (spielende Etym. von     — In der Bedeutung   wohl von    , wovon 	>     ¦ ( )     (als ein frommes Werk):   (spiel. Etym.)     <LEND>     ¦   von       . <LEND>     ¦ (von	hr häufig in der spätern Sprache.         (spiel. Etym.)   u.s.w.                                       B
Nom.	4		36	0	1	35	im  ; vgl. [Page1-0005]   und   . <div n="1">— 7) Nom. pr. <div n="2"> a) eines  ,   <div n="2">— b) ein	.)   <div n="1"> 1)               <div n="1">— 2) Nom. pr. <div n="2"> a) ein König aus der Sonnendynast	v n="1"> 1)     u. s. w.  :     <div n="1">— 2)   Nom. pr. eines Mannes     Onkel von väterlicher Seite,
dies.	5		35	0	0	35	      <div n="2">— c)       <div n="2">— d)   ( ) dies. <div n="1">— 2)     oder       . <div n="v">— Vgl	  :     <div n="1">— 3)         <div n="1">— 4)   dies. und   (n.); vgl.   . <div n="1">— 5)         <div	 ¦   <div n="1"> 1)       im   <div n="1">— 2)  , dies. <div n="1">— 3)  , dies. <div n="1">— 4)  ,   <di
Autt.	5		34	0	0	34	END>     ¦ (2.  )   N. pr. eines Fürsten   Andere Autt.:   . <LEND>     ¦ (2.  )    :     <LEND>     ¦ (2	gen geben   und  , unter Verweisung auf dieselben Autt., dieser Form des Wortes; nur lesen beide     stat	erkannt wird; dieses bedeutet aber nach denselben Autt. auch           zu           in               (kup
astrol.	7		46	0	12	34	    ( )     ( )                                   astrol.     <div n="v">— Vgl.   . <LEND>     ¦ (1.  )   <	 im     in der 2ten Ausg.:   . <LEND>     ¦ ( )   astrol. term.:     in     <LEND>     ¦ ( )    :          	    ist   gleichbedeutend mit   . <div n="1">— 4) astrol.     n.   m.   im   — Vielleicht von 1.  ; vgl.   
ibid.	5		32	0	0	32	en, im Gegensatz [Page1-0013] zum     und   .     ibid.   Vgl.   zu    ,   <LEND>     ¦ (3.  )     ( )   	ner Bedeutung am Ende einiger Composita:    ,     ibid. und   Vgl.   n.,   und   . <div n="1">— 6)     ( 	>— d)       <div n="2">— e) Name einer Pflanze,   ibid. <div n="2">— f)         ebend. 7. = [Page1-0018] 
Declin.	7		31	0	0	31	em loc. componirt     . <div n="1"> 1)          ; Declin.           <div n="2">— a)   (Gegens.             	 Auslauts)    :     <LEND>     ¦ pron.          ; Declin.         ( )               ( )             u.s.w. 	END>     ¦ (compar. von  )           und  ,       Declin.                               zu   Mit einem gen.
Decl.	5		30	0	0	30	 in               <LEND>     ¦ ved.,   klass.     Decl.         am Ende eines   comp.  ,  :              	,   <LEND>    1.  ¦ (von  ) <div n="1"> 1)      , Decl.           <div n="2"> a)   (Gegens.  )           	 diesem wechselnd)     nom. acc.       Pronominal-Decl.     zu                                           
Personif.	9		30	0	0	30	D>     ¦    :                                     Personif. eine Tochter von     und der      <div n="v">— Vg	  . <div n="1">— 2)                               Personif. eine Tochter   und Gemahlin [Page2-0158]       <d	 sein und der   des 51sten Jahres begonnen haben. Personif. ist der   wie der   ( ) ein Sohn   und der     Da
Verbind.	8		30	0	0	30	                   u.s.w. (m. nur in der gezwung. Verbind.   :  )                       =     ( )           	[Page1-1097] Wir haben uns folg. Stellen für eine Verbind. von   mit einem subst. aufgezeichnet:            	ch   Hier kann   kaum etwas Anderes sein als eine Verbind. von   mit der 2. sg. aor. von   . <div n="1">— 5)
transit.	8		30	0	0	30	             (=                   ( )             transit.  :             act.:   [Page1-0836]   pass.:     	D>     ¦,   und        :               Nach   mit transit. (caus.) Bed.:       bei   — caus.    :       (sic	se auch act.:         (acc. pl.)     Das act. mit transit. Bed.  :     <div n="1">— 3) partic.   (nicht zu b
verb. fin.	10		30	0	0	30	     Dieselbe Bedeutung hat     :  .    (das 1ste verb. fin. kann den Ton erhalten  ):     (=   =   =  ,  )   	"> 1)   <div n="2"> a)   (acc.)         statt des verb. fin.       <div n="2">— b)           <div n="2">— c)  	LEND>     ¦ (von   mit  ) ist   tonlos nach einem verb. fin., während dieses seinen Ton bewahrt,     (vgl.    
Art.	4		33	0	4	29	. pr. der Vater des 7ten schwarzen  ; s. d. folg. Art. <LEND>     ¦ ( )     des  , der 7te schwarze  ,  	    ¦ ( )       <LEND>     ¦ ( )    ; s. d. folg. Art. <LEND>     ¦ (von  )       <LEND>     ¦ (von  )  	 <LEND>     ¦ (3.   von   mit  )    ; s. d. folg. Art. <LEND>     ¦ ( )     (geben kann), von den       
bed.	4		32	3	0	29	                       Das 2te   fehlt:     Gleichbed. mit   ist         und     Bei einer mehr als zwei	 eben)       <LEND>     ¦ (wie eben)   wohl gleichbed. mit d. folg. W.     zu   <LEND>     ¦ (wie eben) 	            ( )        :     In den folg. Beispp. bed.     (vgl. 4):   (     )           ( )           A
relat.	6		29	0	0	29	 ; vgl. u. 3. <div n="1">— 3) von der Zeit:   (correlat. von             u. s. w.  :      :              :	ärkendes                             Einem   beim relat. entspricht ein zweites   beim demonstr.:         	en Worte getrennt:                 Auf ein   beim relat. folgt ein   beim demonstr.:       (s. u.   und  )
dergl.	6		33	0	5	28	benselements wehren, heissen                   u. dergl. <div n="1">— 4) N. pr. <div n="2"> a) der 17te   	der dazu geeignete  :                     (  oder dergl.)               <div n="1">— 2)   überh.,         	         , von Speisen    , von Flüssigkeiten und dergl.                       (Gegens.  )    , von einem 
collect.	8		27	0	0	27	euten. <div n="1">— 2)   <div n="2"> a)  ; häufig collect.                                                  	 ist   wohl als   aufzufassen. <div n="2">— b)  ; collect.  :   [Page1-0678]                ;       <div n="	    — subst.   (das Individuum)   (das Genus oder collect., [Page1-1082] daher immer sg.)  :     ( , Maulthi
Uneig.	6		25	0	0	25	            (so ist zu lesen)                     Uneig.:     Vom med. können wir beim simpl. (vgl. —  ) n	                                                  Uneig.:             (in ganz ähnlicher Verbindung steht 	hlerhaft:     <LEND>     ¦ ( )     ( )  :         Uneig.:     <LEND>     ¦ ( )   dass.   <LEND>     ¦ ( ) 
praepp.	7		25	0	0	25	  schliesst sich theils allein, theils mit andern praepp. an eine grosse Anzahl von Verbalwurzeln an. Nicht	LEND>    2.  ¦,                 In Verbindung mit praepp. act. med.  ,  . 3. mit   auch   . part. praet. pa	Verstärkung oder näheren Bestimmung verschiedener praepp. dienend; bei                   S. u. d. Ww. <div 
prec.	5		25	0	0	25	       ibid. aor. med.  ; conj. 3. sg.  ; fut.  ; prec.         ger.  ; partic. praes.   (in Verbindung m	 ; <div n="2"> d)       . perf.    ,    , aor.  , prec.   . <div n="1"> 1)   (   ):                      	en solche Personalendungen (wie des perf. und des prec.) und Suffixe, welche unmittelbar oder nur vermitt
vor.	4		27	0	2	25	n,   des 9ten,   — Es kommt auch die Schreibart   vor. <LEND>    2.  ¦        , v.l.     <div n="v">— Vg	er   und   kommt auch bei   als Bezeichnung des   vor.</F> <div n="v">— Vgl.   und   . <LEND>     ¦ (2. 	(im  ) und die Scholien zu   heben das kurze   hervor.</F>                       Derivate von Compositis
concr.	6		24	0	0	24	       <LEND>     ¦ (von   mit  )     (abstr. und concr.)      ,  ,     <LEND>     ¦ (von   mit  )     <LE	         <div n="1">— 2)     im   <div n="1">— 3) concr.  :             besonders von  :             <LEND	 :     <div n="1">— 2)    :         Weit häufiger concr.   (m.    ):                         Oft ist zwisc
folg. W.	8		24	0	0	24	n   und die 9 Feinde    ,   <div n="v">— Vgl. das folg. W. <LEND>     ¦ ( )   dass.   <LEND>     ¦ ( ) <div 	 wohl eine falsche Form. <div n="1">— 2)  , s. d. folg. W. <LEND>     ¦ ( )     <LEND>     ¦ (von  )        	ch Andern   oder             <div n="v">— Vgl. d. folg. W. <LEND>     ¦   dass.  ,       und   im       =   
folgg.	6		24	0	0	24	v n="1">— 2)    :     <div n="v">— Vgl.   und die folgg. compp. <LEND>     ¦ ( )        : ( )             	tischen Kategorie angepasster Naturlaut. Vgl. die folgg. Ww. <LEND>     ¦ oder     dass. voc.    ,  . 1.  	  ,   <LEND>     ¦ ( )       <div n="v">— Vgl. d. folgg. Ww. <LEND>     ¦ ( )       Das Versmaass verlangt
gew.	4		25	0	1	24	   und   . <LEND>     ¦ demin. von   wird wie ein gew. nom. durch alle casus mit Ausnahme des nom. sg. (	      v. u.     Gebräuchlicher       ( ).         gew. pl.                                       Vgl.   	  ¦ ( )   Titel eines Commentars zu   Gesetzbuch, gew. abgekürzt   genannt,   <LEND>     ¦ ( )    :     
Rec.	4		31	0	8	23	  :     <LEND>     ¦ (von   mit  )    :   (andere Rec.:  )   <LEND>     ¦ =     <div n="v">— Vgl.   . <L	iv n="1"> 1)  :   (ungramm. aor. für  ; in der  .-Rec.:   von  )   <div n="1">— 2)  :     <div n="1">— 3	. mit  )     (?):       :   Die Lesart der andern Rec. s. u.   . <LEND>     ¦ (von  )    :     <LEND>   
copul.	6		23	0	0	23	.  )   sg.      ,                   Am Ende einer copul. Zusamm.:         fem.     <LEND>    1.  ¦ (1.  ) 	 n="1">— 2)  , häufig                     (n. als copul. comp. gedeutet).   (von den Lexicographen eben so	gegangen ist, heisst   . —                       (copul.)   [Page1-0783]                     u.s.w.       
part. fut. pass.	16		23	0	0	23	  ¦ (3.  )    ; vom Stier:     <LEND>     ¦ (3.   part. fut. pass. von  )     Attribut des     des    ; vor allem ab	<LEND>     ¦ N. pr. eines Mannes    <LEND>     ¦ (part. fut. pass. von 1.  )  :       <LEND>     ¦   <div n="1"> 1) 	e   in derselben Verbindung:         <LEND>     ¦ part. fut. pass. von   mit     <LEND>     ¦ (1.  )    :     =   (v
perisp.	7		23	0	0	23	utung       <div n="2">— c)  :           Im   als perisp.:   ( )     <LEND>    1.  ¦ indecl.     und   . <d	    ¦ (von  )    , parox.   (so betont auch  ).   perisp.  :     <LEND>     ¦ (von  ) <div n="1"> 1)       	 1)        :     <div n="1">— 2)   <div n="2"> a) perisp.   (vgl.   4. )                       <div n="2">—
praed.	6		23	0	0	23	                                              das praed. durch   hervorgehoben:         <div n="1">— 7)   	 oder   (acc.)   (acc.)   oder  :             das praed. durch   hervorgehoben:           (v. l.  , vgl. d	zung ist mannigf. Art: <div n="2"> a) ein mit dem praed. congruirendes partic.,   oder subst.:            
var.	4		24	0	1	23	  thätig ist.                      ; vgl. mit der var. l. in   Diese appell. Bedeutung greift an vielen 	b)     Nach     oder   . <div n="1">— 3)   N. pr. var. l. für     im   <LEND>     ¦ (von  )     <div n="	1">— 5)       <LEND>     ¦   N. einer Gottheit   (var. l.  ). <LEND>     ¦     ( )   im   — Scheinbar   
Ww.	3	Y	49	0	27	22	 ¦,      ; wahrscheinlich zur Erklärung der folg. Ww. erfunden. <LEND>     ¦    , von  :     (fehlt in 	 Kategorie angepasster Naturlaut. Vgl. die folgg. Ww. <LEND>     ¦ oder     dass. voc.    ,  . 1.   ved	    versch.      <div n="v">— Vgl. die vorhergeh. Ww. <LEND>     ¦ (2.  )   N. pr. ein Sohn       <div 
advv.	5		22	0	0	22	e Grammatiker. Die copula verbindet sich auch mit advv.:                                               mi	>— 2)  :         <div n="p">—   mit loc. oder Ortsadvv. <div n="1"> 1)  :                   <div n="1">— 	END>     ¦ (von  ) adv.  :     <LEND>     ¦ und   advv. von   und       zu   <div n="v">— Vgl.   . <LEND>
coll.	5		22	0	0	22	    zu     zu belegen nur das   <div n="2"> a)  , coll.                           [Page1-1141] <div n="2"	   zu   <div n="1"> 1)   <div n="2"> a)   (sowohl coll. als im pl.);  , =                   (1).         	abstr. von       zu   <div n="2">— b) parox. nom. coll. von    ,  ; vgl.   <LEND>     ¦   patron. von  ; 
var. l.	7		23	1	0	22	  thätig ist.                      ; vgl. mit der var. l. in   Diese appell. Bedeutung greift an vielen Ste	b)     Nach     oder   . <div n="1">— 3)   N. pr. var. l. für     im   <LEND>     ¦ (von  )     <div n="v">	1">— 5)       <LEND>     ¦   N. einer Gottheit   (var. l.  ). <LEND>     ¦     ( )   im   — Scheinbar   . <
D.	2	Y	22975	0	22954	21	en: Sg. N.  ,     und  ; Du. N. V. Acc.  , Instr. D. Abl.  ; Pl. N. V. Acc.  , Instr.  , D. Abl.  , Lo	  , Instr. D. Abl.  ; Pl. N. V. Acc.  , Instr.  , D. Abl.  , Loc.  ; die übrigen Casus werden aus   ge	 6; vgl. u. 5. 6. <div n="1">— 4) mit dem fut.:   D.    ,   <div n="1">— 5) mit dem instr.     zu     
Erkll.	6		21	0	0	21	                       (an beiden Stellen von den Erkll. sehr künstlich gedeutet).   <div n="1">— 2)     <	<div n="2">— b) N. einer Pflanze,  ,   und andere Erkll. zu   im   Vgl.   . <LEND>     ¦ ( )   pl.  , die 	iv n="1"> 1)     <div n="1">— 2) =     und andere Erkll. zu     <LEND>     ¦ ( )       <LEND>     ¦ <div n
interr.	7		21	0	0	21	,1. 2}.<info n="rev"/> <LEND> <H>     1.  ¦ pron. interr. nom.    ,    , nom. acc.    , später  ; die übrig	n,     zu               <div n="1"> 1) eig. pron. interr. subst. und    :       1.                         	         (Sohn)         Ueber diesen Gebrauch des interr. mit und ohne   s.   zu         (von den Dreien)  
myst.	5		22	0	1	21	iv n="2">— g) N. eines Berges     <div n="2">— h) myst. Bezeichnung des       <div n="1">— 3)     . <div 	) N. pr. die Frau des Büssers     <div n="2">— g) myst. Bezeichnung       <LEND>     ¦ (  1. +  )   ein B	ines der 9 Schätze bei den    ,   <div n="2">— m) myst. Bez. des     <div n="1">— 3)     <div n="2"> a) N
onomat.	7		21	0	0	21	n="1">— 3)   (eines Opfers):         <LEND>     ¦ onomat. für einen schmatzenden, schnalzenden Ton     <LEN	 ein Bein.     <div n="v">— Vgl.   . <LEND>     ¦ onomat. vom Geräusch  :         Davon    :       <LEND>  	¦ ( )      -  <LEND>     ¦,         <LEND>     ¦ (onomat.),    :     <div n="v">— Vgl.   . <LEND>     ¦    
philos.	7		21	0	0	21	ND>     ¦ ( )   Titel eines dem   zugeschriebenen philos. Werkes   <LEND>     ¦ ( )   Titel eines philos. W	n philos. Werkes   <LEND>     ¦ ( )   Titel eines philos. Werkes.   <LEND>     ¦ ( )       im   <LEND>     	   mit  ) adv.     <LEND>     ¦ ( )   Titel eines philos. Werkes   <LEND>     ¦ (von  )       <LEND>     ¦ 
reflex.	7		21	0	0	21	)   <div n="1">— 4)  :           ( : =  )   pass. reflex.    ,    :                 — caus.  :     <div n="	d)     zu   <LEND>     ¦ (von  )     (pron. poss. reflex. für alle Personen wie das slawische  ):     <LEND	  (vgl. das simpl. u. 5.)                   caus. reflex.    ,  .,     <div n="1">— 2)  :               (vg
zusammeng.	10		22	0	1	21	 auch ein Name der   sein.   wird   etym. mit     zusammeng. und mit dem   identificirt:  , <LEND>     ¦ (2.  	              pl.  :             — Wahrscheinlich zusammeng. aus   von  , also  ; das zweite Wort kann aber au	ie Speise geniesst oder für die sie bestimmt ist, zusammeng.:           Im comp. s.   u. s. w. <div n="2">— b)
nomm.	5		20	0	0	20	e ausser Gebrauch gekommene Verbalwurzel, die den nomm.   und   zu Grunde liegt. <LEND>    2.  ¦         	   )       <div n="1"> 1) ein an Verbalwurzeln u. nomm. antret. adv. (praep.),   und   bezeichnend,   So 	bindung mit   nur die orthotonirten Formen der pronomm. gebraucht:   ( )   ( )   u. s. w.   Die Fälle, in
bildl.	6		19	0	0	19	ND>     ¦ (wie eben)   <div n="1"> 1)  :         (bildl.)     <div n="1">— 2)  :       <LEND>     ¦ (wie e	n)   dass.   <LEND>     ¦ ( )       in          , bildl.  :           <div n="v">— Vgl.  , wie auch   zu l	ntstellung von   (s. u.  ). <LEND>     ¦ ( )    , bildl.       <LEND>     ¦ ( )   Name einer Pflanze,   ( 
d. folg. W.	11		19	0	0	19	ist wohl eine falsche Form. <div n="1">— 2)  , s. d. folg. W. <LEND>     ¦ ( )     <LEND>     ¦ (von  )        	 nach Andern   oder             <div n="v">— Vgl. d. folg. W. <LEND>     ¦   dass.  ,       und   im       =   	( )       <LEND>     ¦ N. pr. eines Landes   Vgl. d. folg. W. und   . <LEND>     ¦ ( ) N. pr. eines Landes    —
imper.	6		19	0	0	19	  ¦ und   (v. l. für  ) ff. zusammenges. aus zwei imper. — Formen der 2ten sg.     zu   <LEND>     ¦ (v. l	  im   <LEND>    1.  ¦,   (auch  ) und   ( ; aber imper.     zu d. St.)        ; eig. (von Flüssigem) und 	 N. pr. eines Mannes   <LEND>     ¦,        ; der imper.   ist des Metrums wegen   geschrieben   <div n="1
zusammenges.	12		19	0	0	19	erscheint,               Ueber den Accent solcher zusammenges. Wörter s.      -   -      § 35. 36. 40. 44,6. 127	                ( )             (nach dem   mit   zusammenges.; vgl.   :  , wo beide Scholl. die praep. annehmen	   ¦ (3.  )       im     als v.l. <LEND>    1.  ¦ zusammenges. ( ) pron. Stamm der 1sten pl., aus dem fgg. casus
Acc.	4		18	0	0	18	3.  )    ,   im   <LEND>     ¦ (3.  )     mit dem Acc.:       <LEND>     ¦ (3.  )   Name eines Sohnes de	n.  , Loc.   (auch im        ; dagegen   :  ; Pl. Acc.   (nur  ; in der entsprechenden Stelle   :  ), In	e folgende Formen: Sg. N.  ,     und  ; Du. N. V. Acc.  , Instr. D. Abl.  ; Pl. N. V. Acc.  , Instr.  , 
Anm.	4		39	0	21	18	eselbe wird bestätigt durch  ; s.  , Erläut. z.   Anm. Ein wirkliches   s. u. d. W. Als oxytonon erschei	 )   =     <LEND>     ¦ (von   mit  )    :      , Anm. <div n="v">— Vgl.   . <LEND>     ¦ (von   im caus	( )   so v. a.  .    (5).         —     (vgl. die Anm. dazu). von Pflanzen   <LEND>     ¦ ( )     oder  
Jahrh.	6		18	0	0	18	ND>     ¦ ( )   N. pr. eines Autors aus dem 16ten Jahrh.           Varianten dieses Namens:   . <LEND>    	END>     ¦ ( )   N. pr. eines Astronomen im 12ten Jahrh.       <LEND>     ¦ ( )   N. pr. der Gemahlin     	                         , Titel einer im vorigen Jahrh. verfassten Familienchronik der Unterkönige eines 
